county,state,puma12,stab,cntyname,PUMAname,intptlon,intptlat,pop16,afact
County code,State code,PUMA (2012),State abbreviation,County name,PUMA12 name,"Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees",Population (2016 est.),county to puma12 allocation factor
24001,24,100,MD,Allegany MD,Allegany & Garrett Counties--Cumberland City,-78.822222,39.629197,72130,1
24003,24,1201,MD,Anne Arundel MD,"Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade",-76.709752,39.092737,163922.6244,0.28842
24003,24,1202,MD,Anne Arundel MD,"Anne Arundel County (North)--Glen Burnie, Pasadena, Ferndale & Brooklyn Park",-76.594443,39.172638,116078.0764,0.204238
24003,24,1203,MD,Anne Arundel MD,"Anne Arundel County (Central)--Severna Park, Arnold & Lake Shore",-76.531555,39.086911,142851.8267,0.251346
24003,24,1204,MD,Anne Arundel MD,"Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.5439,38.93535,145493.4724,0.255994
24005,24,501,MD,Baltimore MD,Baltimore County (Outer),-76.624539,39.459617,122452.6895,0.147351
24005,24,502,MD,Baltimore MD,"Baltimore County--Randallstown (East), Owings Mills, Milford Mill & Reisterstown",-76.789322,39.400794,128001.2657,0.154028
24005,24,503,MD,Baltimore MD,"Baltimore County--Pikesville (South), Lochearn, Cockeysville & Mays Chapel",-76.669606,39.401964,116332.2228,0.139986
24005,24,504,MD,Baltimore MD,"Baltimore County--Towson (East & Central), Parkville & Carney",-76.564851,39.391746,120003.0576,0.144403
24005,24,505,MD,Baltimore MD,"Baltimore County--Perry Hall, Middle River & Rosedale",-76.477287,39.366803,113338.5724,0.136384
24005,24,506,MD,Baltimore MD,"Baltimore County--Dundalk, Essex & Edgemere",-76.480526,39.281761,116308.4801,0.139958
24005,24,507,MD,Baltimore MD,"Baltimore County--Catonsville, Woodlawn & Arbutus",-76.718981,39.271918,114589.7118,0.137889
24009,24,1500,MD,Calvert MD,St. Marys & Calvert Counties,-76.542161,38.548518,91251,1
24011,24,1300,MD,Caroline MD,"Queen Annes, Talbot, Caroline, Dorchester & Kent Counties",-75.831475,38.874331,32850,1
24013,24,400,MD,Carroll MD,Carroll County,-76.993091,39.527219,167656,1
24015,24,700,MD,Cecil MD,Cecil County,-75.936612,39.613825,102603,1
24017,24,1600,MD,Charles MD,Charles County--La Plata Town & Waldorf,-76.953005,38.578559,157705,1
24019,24,1300,MD,Dorchester MD,"Queen Annes, Talbot, Caroline, Dorchester & Kent Counties",-76.0097,38.570624,32258,1
24021,24,301,MD,Frederick MD,Frederick County (Outside Greater Frederick City),-77.38995,39.442796,127848.5515,0.51637
24021,24,302,MD,Frederick MD,Frederick County (Central)--Greater Frederick City,-77.411196,39.420999,119742.4485,0.48363
24023,24,100,MD,Garrett MD,Allegany & Garrett Counties--Cumberland City,-79.303003,39.512187,29425,1
24025,24,601,MD,Harford MD,"Harford County (North & West)--Bel Air Town, Fallston & Jarrettsville",-76.357125,39.561024,137512.5788,0.547789
24025,24,602,MD,Harford MD,Harford County (South & East)--Aberdeen & Havre de Grace Cities,-76.2549,39.473348,113519.4212,0.452211
24027,24,901,MD,Howard MD,Howard County (West)--Columbia (West) & Ellicott City (Northwest),-76.909328,39.249473,140688.1972,0.443485
24027,24,902,MD,Howard MD,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge",-76.814844,39.195205,176544.8028,0.556514
24029,24,1300,MD,Kent MD,"Queen Annes, Talbot, Caroline, Dorchester & Kent Counties",-76.058445,39.24506,19730,1
24031,24,1001,MD,Montgomery MD,"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown",-77.190681,39.178657,140712.1528,0.134799
24031,24,1002,MD,Montgomery MD,Montgomery County (West Central)--Germantown & Montgomery Village,-77.228931,39.177656,137850.5384,0.132058
24031,24,1003,MD,Montgomery MD,"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac",-77.188941,39.107649,189743.0793,0.18177
24031,24,1004,MD,Montgomery MD,"Montgomery County (South)--Bethesda, Potomac & North Bethesda",-77.127684,39.007249,191361.8679,0.183321
24031,24,1005,MD,Montgomery MD,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont",-77.068818,39.063404,144902.5273,0.138814
24031,24,1006,MD,Montgomery MD,"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville",-76.981794,39.07367,124090.2981,0.118876
24031,24,1007,MD,Montgomery MD,Montgomery County (Southeast)--Takoma Park City & Silver Spring,-77.0167,39.001695,115202.5363,0.110362
24033,24,1101,MD,Prince Georges MD,Prince Georges County (Northwest)--College Park City & Langley Park,-76.958769,38.986578,120175.4085,0.132345
24033,24,1102,MD,Prince Georges MD,"Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.870111,39.044335,138424.3096,0.152441
24033,24,1103,MD,Prince Georges MD,Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities,-76.918775,38.95146,111857.6031,0.123185
24033,24,1104,MD,Prince Georges MD,"Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.891681,38.8832,118784.0244,0.130812
24033,24,1105,MD,Prince Georges MD,"Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.782651,38.918332,175026.2292,0.19275
24033,24,1106,MD,Prince Georges MD,"Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.901277,38.742061,122827.7672,0.135265
24033,24,1107,MD,Prince Georges MD,"Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.959553,38.815948,120953.6581,0.133202
24035,24,1300,MD,Queen Annes MD,"Queen Annes, Talbot, Caroline, Dorchester & Kent Counties",-76.147916,39.022436,48929,1
24037,24,1500,MD,St. Marys MD,St. Marys & Calvert Counties,-76.578976,38.307327,112587,1
24039,24,1400,MD,Somerset MD,"Wicomico, Worcester & Somerset Counties--Salisbury City",-75.74338,38.132883,25928,1
