"zcta5","state","puma12","stab","zipname","PUMAname","intptlon","intptlat","pop16","afact"
"ZIP census tabulation area","State code","PUMA (2012)","State abbreviation","ZCTA name","PUMA12 name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2016 est.)","zcta5 to puma12 allocation factor"
"20601","24","01106","MD","Waldorf, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.973,38.663445,303.938015,0.011696 
"20601","24","01600","MD","Waldorf, MD","Charles County--La Plata Town & Waldorf",-76.883466,38.636016,25683.517922,0.988304 
"20602","24","01600","MD","Waldorf, MD","Charles County--La Plata Town & Waldorf",-76.902781,38.599265,26854.325627,1 
"20603","24","01600","MD","Waldorf, MD","Charles County--La Plata Town & Waldorf",-76.961526,38.626381,31171.67904,1 
"20606","24","01500","MD","Abell, MD","St. Marys & Calvert Counties",-76.736692,38.254858,461.479178,1 
"20607","24","01106","MD","Accokeek, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-77.012828,38.666146,10263.429375,0.995512 
"20607","24","01600","MD","Accokeek, MD","Charles County--La Plata Town & Waldorf",-77.079814,38.683112,46.272731,0.004488 
"20608","24","01106","MD","Aquasco, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.716915,38.584733,966.501854,1 
"20609","24","01500","MD","Avenue, MD","St. Marys & Calvert Counties",-76.759366,38.269817,1199.203431,1 
"20611","24","01600","MD","Bel Alton, MD","Charles County--La Plata Town & Waldorf",-76.986066,38.466477,1160.046605,1 
"20612","24","01600","MD","Benedict, MD","Charles County--La Plata Town & Waldorf",-76.679292,38.511306,280.864716,1 
"20613","24","01106","MD","Brandywine, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.845716,38.69262,10814.514219,0.864363 
"20613","24","01600","MD","Brandywine, MD","Charles County--La Plata Town & Waldorf",-76.758828,38.594112,1697.025506,0.135637 
"20615","24","01500","MD","Broomes Island, MD","St. Marys & Calvert Counties",-76.547036,38.419223,416.474019,1 
"20616","24","01600","MD","Bryans Road, MD","Charles County--La Plata Town & Waldorf",-77.077364,38.639872,6302.776405,1 
"20617","24","01600","MD","Bryantown, MD","Charles County--La Plata Town & Waldorf",-76.842218,38.545907,840.441928,1 
"20618","24","01500","MD","Bushwood, MD","St. Marys & Calvert Counties",-76.788532,38.28404,649.925431,1 
"20619","24","01500","MD","California, MD","St. Marys & Calvert Counties",-76.528221,38.297984,11245.74432,1 
"20620","24","01500","MD","Callaway, MD","St. Marys & Calvert Counties",-76.526545,38.235354,1545.045135,1 
"20621","24","01500","MD","Chaptico, MD","St. Marys & Calvert Counties",-76.80215,38.324621,1470.094921,1 
"20622","24","01500","MD","Charlotte Hall, MD","St. Marys & Calvert Counties",-76.770102,38.493092,1895.169708,0.360066 
"20622","24","01600","MD","Charlotte Hall, MD","Charles County--La Plata Town & Waldorf",-76.845551,38.462664,3368.224372,0.639934 
"20623","24","01106","MD","Rosaryville, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.83156,38.746058,2885.833611,1 
"20624","24","01500","MD","Clements, MD","St. Marys & Calvert Counties",-76.742937,38.336937,1372.659642,1 
"20625","24","01600","MD","Cobb Island, MD","Charles County--La Plata Town & Waldorf",-76.849895,38.262573,1142.828845,1 
"20626","24","01500","MD","Coltons Point, MD","St. Marys & Calvert Counties",-76.75833,38.229597,399.377571,1 
"20628","24","01500","MD","Dameron, MD","St. Marys & Calvert Counties",-76.356046,38.151069,636.006106,1 
"20629","24","01500","MD","Solomons, MD","St. Marys & Calvert Counties",-76.452597,38.336725,550.157037,1 
"20630","24","01500","MD","Drayden, MD","St. Marys & Calvert Counties",-76.468422,38.177146,372.609638,1 
"20632","24","01600","MD","Faulkner, MD","Charles County--La Plata Town & Waldorf",-76.962324,38.434518,373.410178,1 
"20634","24","01500","MD","California, MD","St. Marys & Calvert Counties",-76.496353,38.267203,6346.14173,1 
"20636","24","01500","MD","Hollywood, MD","St. Marys & Calvert Counties",-76.569446,38.345605,10639.7183,1 
"20637","24","01600","MD","Hughesville, MD","Charles County--La Plata Town & Waldorf",-76.77392,38.527286,5835.744655,1 
"20639","24","01500","MD","Huntingtown, MD","St. Marys & Calvert Counties",-76.599199,38.610706,14630.063863,1 
"20640","24","01600","MD","Indian Head, MD","Charles County--La Plata Town & Waldorf",-77.144247,38.582505,11232.436421,1 
"20645","24","01600","MD","Issue, MD","Charles County--La Plata Town & Waldorf",-76.915699,38.298644,922.22629,1 
"20646","24","01600","MD","La Plata, MD","Charles County--La Plata Town & Waldorf",-76.973635,38.525146,20327.718337,1 
"20650","24","01500","MD","Leonardtown, MD","St. Marys & Calvert Counties",-76.632105,38.276106,14687.029881,1 
"20653","24","01500","MD","Lexington Park, MD","St. Marys & Calvert Counties",-76.453837,38.250793,26212.231429,1 
"20657","24","01500","MD","Chesapeake Ranch Estates, MD","St. Marys & Calvert Counties",-76.428585,38.367451,21063.302039,1 
"20658","24","01600","MD","Marbury, MD","Charles County--La Plata Town & Waldorf",-77.159941,38.564221,918.99796,1 
"20659","24","01500","MD","Mechanicsville, MD","St. Marys & Calvert Counties",-76.729097,38.427762,24765.69229,0.984261 
"20659","24","01600","MD","Mechanicsville, MD","Charles County--La Plata Town & Waldorf",-76.833742,38.438916,396.008489,0.015739 
"20660","24","01500","MD","Morganza, MD (PO Boxes)","St. Marys & Calvert Counties",-76.704309,38.370758,103.859583,1 
"20662","24","01600","MD","Nanjemoy, MD","Charles County--La Plata Town & Waldorf",-77.198587,38.442834,3157.306808,1 
"20664","24","01600","MD","Newburg, MD","Charles County--La Plata Town & Waldorf",-76.931316,38.348463,3214.340639,1 
"20667","24","01500","MD","Park Hall, MD","St. Marys & Calvert Counties",-76.435256,38.222236,528.934371,1 
"20670","24","01500","MD","Patuxent River, MD","St. Marys & Calvert Counties",-76.441794,38.274032,1085.707392,1 
